0	0	0	0	0	0	0	0	0	0
347	1.1	139.5	346.98	-2.53	2.16	3.33	3.33	139.5	0.32
377	1.1	136.1	376.97	-2.96	2.55	3.9	3.91	139.25	0.22
408	1.2	139	407.97	-3.42	2.97	4.53	4.53	139.02	0.37
438	1.2	138.6	437.96	-3.89	3.38	5.15	5.16	139	0.03
469	1.3	134.7	468.95	-4.38	3.85	5.83	5.83	138.72	0.42
499	1.3	134.5	498.95	-4.86	4.33	6.51	6.51	138.29	0.02
530	1.3	132.9	529.94	-5.35	4.84	7.21	7.21	137.84	0.12
550	1.3	131	549.93	-5.65	5.18	7.66	7.66	137.49	0.22
591	1.4	130.6	590.92	-6.28	5.91	8.62	8.62	136.74	0.24
621	1.4	131.6	620.91	-6.76	6.46	9.35	9.35	136.3	0.08
652	1.5	130.8	651.9	-7.28	7.05	10.13	10.13	135.91	0.33
682	1.6	130.3	681.89	-7.81	7.67	10.94	10.94	135.51	0.34
712	1.9	129.3	711.88	-8.39	8.37	11.85	11.85	135.07	1.01
743	2.2	130.6	742.86	-9.1	9.22	12.95	12.96	134.63	0.98
774	2.6	133.4	773.83	-9.98	10.19	14.24	14.26	134.4	1.34
804	2.9	135.4	803.8	-10.98	11.21	15.68	15.7	134.41	1.05
834	3.3	135.1	833.75	-12.13	12.35	17.3	17.32	134.49	1.33
865	3.6	133.8	864.69	-13.44	13.69	19.16	19.18	134.48	1
896	4	134.1	895.63	-14.87	15.17	21.21	21.24	134.43	1.29
926	4.5	137	925.54	-16.46	16.72	23.43	23.46	134.54	1.81
956	5	138.6	955.44	-18.3	18.39	25.92	25.94	134.86	1.72
986	5.4	138.4	985.32	-20.33	20.19	28.64	28.65	135.2	1.33
1017	5.8	138.9	1016.17	-22.6	22.19	31.66	31.67	135.53	1.3
1047	6.2	138.5	1046.01	-24.96	24.26	34.8	34.81	135.82	1.34
1091	6.8	140	1089.72	-28.73	27.51	39.77	39.78	136.25	1.42
1137	7.1	139.7	1135.38	-32.99	31.1	45.33	45.33	136.69	0.66
1183	7.6	140.5	1181.01	-37.5	34.87	51.21	51.21	137.09	1.11
1228	8	140.3	1225.59	-42.21	38.76	57.31	57.31	137.44	0.89
1272	8.4	141.4	1269.14	-47.08	42.72	63.57	63.57	137.78	0.98
1318	8.7	141.1	1314.63	-52.41	47	70.39	70.4	138.11	0.66
1364	9.1	140.5	1360.07	-57.93	51.5	77.49	77.51	138.36	0.89
1409	9.6	139	1404.48	-63.5	56.23	84.8	84.82	138.48	1.24
1453	10.2	136.2	1447.82	-69.08	61.33	92.36	92.38	138.4	1.75
1499	11.1	135.1	1493.03	-75.16	67.28	100.86	100.87	138.17	2.01
1543	11.7	134.8	1536.16	-81.3	73.43	109.55	109.56	137.91	1.37
1589	12.3	135.9	1581.15	-88.11	80.15	119.11	119.11	137.71	1.4
1632	12.5	136.6	1623.15	-94.78	86.54	128.34	128.34	137.6	0.58
1676	12.7	136.3	1666.09	-101.74	93.15	137.94	137.94	137.52	0.48
1722	13	137.1	1710.94	-109.18	100.16	148.16	148.17	137.47	0.76
1766	13.4	136.6	1753.78	-116.51	107.04	158.21	158.21	137.43	0.95
1812	13.9	135.4	1798.48	-124.32	114.58	169.06	169.07	137.33	1.25
1856	13.8	134.6	1841.2	-131.77	122.03	179.59	179.59	137.2	0.49
1901	13.8	137.6	1884.9	-139.5	129.47	190.32	190.32	137.14	1.59
1947	14.4	139.2	1929.51	-147.88	136.9	201.52	201.52	137.21	1.56
1991	14.5	136.9	1972.12	-156.04	144.24	212.5	212.5	137.25	1.32
2037	14.5	134.4	2016.66	-164.28	152.29	224.01	224.01	137.17	1.36
2081	15.1	133.9	2059.2	-172.11	160.36	235.23	235.23	137.02	1.39
2127	15.5	134.7	2103.57	-180.58	169.04	247.35	247.36	136.89	0.98
2170	16	135.8	2144.95	-188.87	177.26	259.02	259.02	136.82	1.35
2216	16.2	135.3	2189.15	-197.98	186.19	271.77	271.78	136.76	0.53
2262	16.3	134.1	2233.31	-207.03	195.34	284.63	284.64	136.66	0.76
2306	16.6	135.9	2275.51	-215.84	204.15	297.08	297.09	136.6	1.34
2349	17.1	137.5	2316.66	-224.92	212.69	309.54	309.56	136.6	1.59
2393	17.1	136.6	2358.72	-234.39	221.51	322.48	322.49	136.62	0.6
2437	16.9	135.4	2400.8	-243.64	230.44	335.34	335.36	136.59	0.92
2481	16.6	135.5	2442.93	-252.68	239.34	348.02	348.04	136.55	0.68
2527	16.6	134.2	2487.01	-261.94	248.66	361.15	361.17	136.49	0.81
2571	16.7	134.6	2529.17	-270.76	257.66	373.74	373.77	136.42	0.35
2617	16.8	134.7	2573.22	-280.08	267.1	386.98	387.02	136.36	0.23
2663	16.8	133.7	2617.25	-289.35	276.63	400.26	400.31	136.29	0.63
2707	16.7	132.3	2659.39	-298	285.9	412.91	412.97	136.19	0.94
2752	17.3	132.7	2702.42	-306.89	295.6	426.02	426.1	136.07	1.36
2798	17.4	133.5	2746.33	-316.26	305.61	439.7	439.8	135.98	0.56
2842	16.7	134.4	2788.39	-325.21	314.9	452.58	452.69	135.92	1.7
2886	16.1	136.2	2830.6	-334.04	323.64	465	465.11	135.91	1.79
2932	16.5	137.2	2874.75	-343.43	332.5	477.91	478.02	135.93	1.06
2976	17.4	139.4	2916.84	-353.01	341.02	490.73	490.83	135.99	2.51
3019	17.5	140.8	2957.86	-362.91	349.29	503.61	503.69	136.09	1
3065	16.7	141.1	3001.83	-373.41	357.82	517.1	517.17	136.22	1.75
3111	17.1	142.1	3045.84	-383.89	366.12	530.43	530.49	136.36	1.07
3157	17.8	142.2	3089.73	-394.78	374.58	544.18	544.21	136.5	1.52
3201	18.2	141.9	3131.57	-405.5	382.95	557.72	557.75	136.64	0.93
3245	18.6	142.1	3173.32	-416.45	391.5	571.56	571.58	136.77	0.92
3290	19.2	142.2	3215.9	-427.96	400.44	586.08	586.09	136.9	1.34
3336	19.3	141.5	3259.33	-439.88	409.81	601.2	601.2	137.03	0.55
3382	19.2	141	3302.75	-451.71	419.3	616.33	616.33	137.13	0.42
3428	19	140.6	3346.22	-463.38	428.81	631.35	631.35	137.22	0.52
3474	18.7	140.1	3389.75	-474.82	438.3	646.19	646.19	137.29	0.74
3519	18.3	139.4	3432.43	-485.72	447.52	660.45	660.45	137.34	1.02
3565	17.9	138.7	3476.15	-496.51	456.89	674.73	674.74	137.38	0.99
3611	17.3	137.5	3520	-506.87	466.17	688.64	688.64	137.39	1.52
3657	16.7	136.6	3563.99	-516.71	475.34	702.09	702.09	137.39	1.42
3703	16.5	135.9	3608.07	-526.2	484.42	715.23	715.23	137.37	0.61
3746	15.6	135.7	3649.4	-534.73	492.71	727.11	727.12	137.34	2.1
3790	15	135.6	3691.84	-543.03	500.83	738.72	738.72	137.32	1.36
3834	14.7	136.2	3734.37	-551.13	508.67	749.99	749.99	137.29	0.77
3878	14.2	136.9	3776.97	-559.1	516.23	760.97	760.97	137.28	1.2
3923	14.2	137.6	3820.6	-567.2	523.72	772.01	772.01	137.28	0.38
3967	14.1	136.8	3863.26	-575.1	531.03	782.77	782.77	137.28	0.5
4011	14.5	136.7	3905.9	-583.01	538.47	793.63	793.64	137.27	0.91
4055	14.2	137.1	3948.53	-590.97	545.93	804.54	804.54	137.27	0.72
4100	13.7	137.4	3992.2	-598.94	553.29	815.39	815.39	137.27	1.12
4146	13.6	137.8	4036.9	-606.96	560.61	826.24	826.24	137.27	0.3
4192	13.5	138.6	4081.62	-614.99	567.79	837.02	837.02	137.29	0.46
4236	13.4	139.6	4124.41	-622.72	574.49	847.25	847.25	137.31	0.58
4282	13.4	139.3	4169.16	-630.82	581.42	857.9	857.9	137.33	0.15
4325	13.3	139.4	4211	-638.36	587.89	867.82	867.82	137.36	0.24
4369	13.6	139.8	4253.79	-646.15	594.53	878.04	878.05	137.38	0.71
4415	13.9	139	4298.47	-654.45	601.64	888.97	888.98	137.41	0.77
4461	14.1	138.9	4343.11	-662.84	608.95	900.09	900.1	137.43	0.44
4505	14.5	138.4	4385.75	-671	616.13	910.96	910.97	137.44	0.95
4551	14.8	138.6	4430.25	-679.72	623.84	922.59	922.6	137.45	0.66
4595	14.6	137.2	4472.81	-688	631.32	933.75	933.76	137.46	0.93
4638	14.4	136.5	4514.44	-695.86	638.69	944.52	944.53	137.45	0.62
4682	14.5	136	4557.05	-703.79	646.28	955.49	955.51	137.44	0.36
4728	14.5	137.2	4601.58	-712.15	654.19	967.01	967.02	137.43	0.65
4774	14.8	138.2	4646.09	-720.76	662.02	978.64	978.65	137.43	0.85
4818	15.1	137.8	4688.6	-729.19	669.62	989.99	990	137.44	0.72
4863	15.4	136.4	4732.01	-737.86	677.67	1001.83	1001.84	137.43	1.06
4909	14.7	135.1	4776.44	-746.42	686	1013.77	1013.78	137.42	1.69
4955	14	134.4	4821	-754.45	694.1	1025.16	1025.17	137.39	1.57
5001	14.2	134	4865.61	-762.26	702.13	1036.35	1036.36	137.35	0.48
5045	14.1	134.3	4908.28	-769.75	709.85	1047.09	1047.1	137.32	0.28
5090	13.9	134.3	4951.94	-777.36	717.64	1057.96	1057.97	137.29	0.44
5134	13.6	136.1	4994.68	-784.78	725.01	1068.42	1068.42	137.27	1.19
5178	13.7	137.2	5037.44	-792.33	732.14	1078.8	1078.8	137.26	0.63
5222	14.2	138.2	5080.14	-800.17	739.28	1089.4	1089.41	137.27	1.26
5268	14.9	138.6	5124.67	-808.81	746.95	1100.96	1100.96	137.28	1.54
5314	14.5	137.6	5169.16	-817.5	754.74	1112.63	1112.63	137.29	1.03
5357	14	137.9	5210.84	-825.34	761.86	1123.21	1123.22	137.29	1.18
5401	13.6	137.6	5253.57	-833.11	768.92	1133.71	1133.71	137.29	0.92
5447	13.3	136.3	5298.31	-840.93	776.22	1144.41	1144.41	137.29	0.93
5493	12.9	134.6	5343.11	-848.36	783.53	1154.83	1154.83	137.27	1.21
5539	13.1	136.5	5387.93	-855.74	790.78	1165.17	1165.17	137.26	1.03
5584	13.9	139.1	5431.69	-863.53	797.83	1175.67	1175.67	137.26	2.23
5628	15.1	142.3	5474.28	-872.06	804.79	1186.66	1186.66	137.3	3.28
5672	15.1	143.3	5516.77	-881.19	811.72	1198.07	1198.07	137.35	0.59
5716	15	143	5559.26	-890.33	818.57	1209.43	1209.44	137.4	0.29
5762	15.3	143	5603.66	-899.93	825.81	1221.39	1221.41	137.46	0.65
5807	15.4	143	5647.05	-909.44	832.98	1233.24	1233.26	137.51	0.22
5853	15.2	142.6	5691.42	-919.11	840.31	1245.32	1245.35	137.56	0.49
5897	14.8	142.7	5733.92	-928.17	847.22	1256.66	1256.69	137.61	0.91
5941	14.2	143.3	5776.52	-936.96	853.85	1267.61	1267.66	137.66	1.41
5986	13.4	142.4	5820.22	-945.52	860.33	1278.3	1278.35	137.7	1.84
6030	12.9	140.7	5863.07	-953.36	866.56	1288.27	1288.34	137.73	1.44
6076	12.1	140	5907.98	-961.03	872.91	1298.22	1298.28	137.75	1.77
6122	11.4	138.5	5953.01	-968.13	879.02	1307.58	1307.65	137.76	1.66
6181	11.4	138.5	6010.85	-976.86	886.75	1319.23	1319.31	137.77	0
